"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","EQ","24-Jul-2020","         21.45","         21.50","         21.90","         21.00","         21.10","         21.10","         21.20","     305988","             6486261.80","        903","     179144","         58.55"
"MANALIPETC","EQ","27-Jul-2020","         21.10","         21.25","         21.40","         20.45","         20.60","         20.55","         20.68","     191394","             3958446.50","        787","     128430","         67.10"
"MANALIPETC","EQ","28-Jul-2020","         20.55","         20.85","         20.85","         20.10","         20.10","         20.15","         20.31","     257321","             5227358.65","        756","     202931","         78.86"
"MANALIPETC","EQ","29-Jul-2020","         20.15","         20.55","         20.75","         20.05","         20.25","         20.20","         20.39","     291819","             5950496.25","       1118","     188521","         64.60"
"MANALIPETC","EQ","30-Jul-2020","         20.20","         20.35","         20.60","         19.85","         19.90","         19.95","         20.17","     296096","             5973409.90","       1093","     136532","         46.11"
"MANALIPETC","EQ","31-Jul-2020","         19.95","         20.00","         20.30","         19.60","         19.95","         19.75","         19.86","     135478","             2690076.65","        652","      87260","         64.41"
"MANALIPETC","EQ","03-Aug-2020","         19.75","         19.80","         20.55","         19.45","         20.15","         20.15","         19.99","     371814","             7433370.40","       1204","     217823","         58.58"
"MANALIPETC","EQ","04-Aug-2020","         20.15","         20.20","         20.95","         19.70","         20.90","         20.80","         20.36","     452607","             9213694.65","       1709","     223776","         49.44"
"MANALIPETC","EQ","05-Aug-2020","         20.80","         20.70","         21.30","         20.55","         20.75","         20.70","         20.95","     365445","             7655450.10","       1051","     213509","         58.42"
"MANALIPETC","EQ","06-Aug-2020","         20.70","         20.10","         20.35","         19.20","         19.55","         19.60","         19.76","     651957","            12882850.95","       1750","     424324","         65.08"
"MANALIPETC","EQ","07-Aug-2020","         19.60","         20.45","         20.45","         19.75","         19.75","         19.85","         20.03","     762033","            15264382.10","       1930","     361768","         47.47"
"MANALIPETC","EQ","10-Aug-2020","         19.85","         20.25","         21.70","         19.70","         21.15","         21.10","         20.91","    1267130","            26493661.40","       3307","     737752","         58.22"
"MANALIPETC","EQ","11-Aug-2020","         21.10","         21.35","         22.20","         21.35","         21.65","         21.55","         21.79","     828985","            18062773.35","       2292","     527676","         63.65"
"MANALIPETC","EQ","12-Aug-2020","         21.55","         21.50","         22.45","         21.05","         21.60","         21.60","         21.84","     799258","            17454896.65","       2260","     350705","         43.88"
"MANALIPETC","EQ","13-Aug-2020","         21.60","         21.90","         22.00","         21.20","         21.35","         21.45","         21.53","     382502","             8234650.85","       1257","     225806","         59.03"
"MANALIPETC","EQ","14-Aug-2020","         21.45","         21.45","         21.85","         20.60","         20.75","         20.80","         21.14","     414311","             8759633.05","       1195","     274596","         66.28"
"MANALIPETC","EQ","17-Aug-2020","         20.80","         20.80","         21.35","         20.80","         21.20","         21.05","         21.05","     222662","             4687841.15","        844","     143447","         64.42"
"MANALIPETC","EQ","18-Aug-2020","         21.05","         21.00","         21.45","         20.25","         20.70","         20.65","         20.86","     446079","             9305654.30","       1408","     288250","         64.62"
"MANALIPETC","EQ","19-Aug-2020","         20.65","         21.20","         21.40","         20.90","         20.95","         21.00","         21.11","     394415","             8325784.40","       1129","     241212","         61.16"
